Time (s),Processed X Mag,Processed Y Mag,Processed Z Mag,,
8.110520698,0.227661307,-0.184326313,-0.61248826,,8.12
8.175701611,0.208740394,-0.178833144,-0.615234844,,8.18
8.23657459,0.230407891,-0.197754057,-0.599060516,,8.24
8.299706411,0.208740394,-0.195007473,-0.609741676,,8.3
8.359514594,0.211486978,-0.208740394,-0.604248508,,8.36
8.424193898,0.21667497,-0.197754057,-0.596313932,,8.43
8.485663419,0.227661307,-0.21667497,-0.606995092,,8.49
8.548180418,0.219421554,-0.211486978,-0.596313932,,8.55
8.609533837,0.219421554,-0.200500641,-0.593567347,,8.61
8.6716974,0.208740394,-0.200500641,-0.604248508,,8.68
8.736178498,0.222168138,-0.192260889,-0.601501924,,8.74
8.796896889,0.224914722,-0.20599381,-0.615234844,,8.8
8.859609528,0.208740394,-0.200500641,-0.604248508,,8.86
8.921570074,0.222168138,-0.200500641,-0.604248508,,8.93
8.984148971,0.219421554,-0.197754057,-0.61248826,,8.99
9.046560131,0.211486978,-0.208740394,-0.593567347,,9.05
9.110228841,0.197754057,-0.203247225,-0.599060516,,9.12
9.174849774,0.219421554,-0.20599381,-0.615234844,,9.18
9.234089959,0.21667497,-0.208740394,-0.596313932,,9.24
9.296840763,0.224914722,-0.189819481,-0.606995092,,9.3
9.359618829,0.208740394,-0.195007473,-0.606995092,,9.36
9.421557566,0.21667497,-0.211486978,-0.601501924,,9.43
9.483571352,0.211486978,-0.200500641,-0.620728013,,9.49
9.547745198,0.214233562,-0.20599381,-0.609741676,,9.55
9.607549212,0.20599381,-0.20599381,-0.615234844,,9.61
9.672581951,0.224914722,-0.197754057,-0.604248508,,9.68
9.734249678,0.224914722,-0.197754057,-0.61248826,,9.74
9.796120101,0.214233562,-0.187072897,-0.604248508,,9.8
9.857758001,0.21667497,-0.203247225,-0.596313932,,9.86
9.919637084,0.224914722,-0.208740394,-0.606995092,,9.92
9.982731702,0.219421554,-0.211486978,-0.609741676,,9.99
10.04581991,0.214233562,-0.214233562,-0.599060516,,10.05
10.10778879,0.224914722,-0.208740394,-0.61248826,,10.11
10.17161786,0.214233562,-0.211486978,-0.604248508,,10.18
10.23385455,0.208740394,-0.200500641,-0.606995092,,10.24
10.29461431,0.214233562,-0.208740394,-0.606995092,,10.3
10.35960985,0.219421554,-0.211486978,-0.625916005,,10.36
10.41884843,0.21667497,-0.203247225,-0.617981429,,10.42
10.48378624,0.222168138,-0.192260889,-0.617981429,,10.49
10.54402386,0.214233562,-0.20599381,-0.609741676,,10.55
10.60769514,0.224914722,-0.195007473,-0.609741676,,10.61
10.66962971,0.222168138,-0.211486978,-0.620728013,,10.67
11.36201526,0.208740394,-0.189819481,-0.609741676,,11.37
11.46792174,0.219421554,-0.20599381,-0.615234844,,11.47
11.48140808,0.222168138,-0.184326313,-0.599060516,,11.49
11.54266561,0.20599381,-0.214233562,-0.601501924,,11.55
11.60483077,0.21667497,-0.195007473,-0.623169421,,11.61
11.6666951,0.227661307,-0.197754057,-0.601501924,,11.67
11.73165825,0.227661307,-0.20599381,-0.609741676,,11.74
11.79179581,0.214233562,-0.195007473,-0.617981429,,11.8
11.85675094,0.200500641,-0.200500641,-0.609741676,,11.86
11.91876183,0.211486978,-0.208740394,-0.609741676,,11.92
11.98028941,0.233154475,-0.208740394,-0.61248826,,11.99
12.04267266,0.21667497,-0.197754057,-0.606995092,,12.05
12.10392634,0.200500641,-0.195007473,-0.617981429,,12.11
12.16685065,0.222168138,-0.195007473,-0.601501924,,12.17
12.22869991,0.230407891,-0.208740394,-0.623169421,,12.23
12.29170633,0.222168138,-0.192260889,-0.609741676,,12.3
12.35378939,0.230407891,-0.197754057,-0.620728013,,12.36
12.41671178,0.21667497,-0.195007473,-0.609741676,,12.42
12.48008479,0.21667497,-0.214233562,-0.606995092,,12.49
12.54082627,0.21667497,-0.189819481,-0.601501924,,12.55
12.60275538,0.21667497,-0.197754057,-0.620728013,,12.61
12.66672846,0.203247225,-0.200500641,-0.609741676,,12.67
12.72770118,0.219421554,-0.195007473,-0.590820763,,12.73
12.79310371,0.224914722,-0.200500641,-0.617981429,,12.8
12.85273229,0.222168138,-0.187072897,-0.606995092,,12.86
12.91681698,0.211486978,-0.195007473,-0.604248508,,12.92
12.97973552,0.211486978,-0.192260889,-0.601501924,,12.98
13.04175315,0.222168138,-0.197754057,-0.599060516,,13.05
13.10278008,0.214233562,-0.208740394,-0.604248508,,13.11
13.1677413,0.224914722,-0.20599381,-0.61248826,,13.17
13.22785545,0.219421554,-0.208740394,-0.604248508,,13.23
13.29172365,0.214233562,-0.195007473,-0.599060516,,13.3
13.35373102,0.211486978,-0.20599381,-0.599060516,,13.36
13.41573326,0.227661307,-0.20599381,-0.615234844,,13.42
13.47689264,0.208740394,-0.197754057,-0.609741676,,13.48
13.53886794,0.203247225,-0.20599381,-0.620728013,,13.54
13.60271273,0.219421554,-0.195007473,-0.61248826,,13.61
13.66375473,0.227661307,-0.203247225,-0.615234844,,13.67
13.72674511,0.21667497,-0.20599381,-0.617981429,,13.73
13.78898212,0.222168138,-0.20599381,-0.606995092,,13.79
13.85176115,0.208740394,-0.195007473,-0.599060516,,13.86
13.9159398,0.214233562,-0.211486978,-0.606995092,,13.92
13.97603247,0.208740394,-0.208740394,-0.604248508,,13.98
14.03787755,0.219421554,-0.208740394,-0.617981429,,14.04
14.10123837,0.222168138,-0.203247225,-0.601501924,,14.11
14.16277492,0.214233562,-0.211486978,-0.609741676,,14.17
14.22686282,0.211486978,-0.208740394,-0.606995092,,14.23
14.28996353,0.208740394,-0.203247225,-0.599060516,,14.29
14.35179482,0.208740394,-0.203247225,-0.601501924,,14.36
14.41275632,0.230407891,-0.197754057,-0.606995092,,14.42
14.4748907,0.20599381,-0.21667497,-0.617981429,,14.48
14.54002831,0.214233562,-0.197754057,-0.609741676,,14.55
14.59988332,0.222168138,-0.208740394,-0.606995092,,14.6
14.66329032,0.214233562,-0.211486978,-0.617981429,,14.67
14.7248195,0.214233562,-0.21667497,-0.606995092,,14.73
14.78781758,0.214233562,-0.203247225,-0.61248826,,14.79
14.8498721,0.222168138,-0.208740394,-0.601501924,,14.85
14.91182013,0.20599381,-0.211486978,-0.604248508,,14.92
14.97481533,0.211486978,-0.195007473,-0.601501924,,14.98
15.03885094,0.214233562,-0.200500641,-0.61248826,,15.04
15.0999109,0.214233562,-0.203247225,-0.606995092,,15.1
15.16350232,0.214233562,-0.20599381,-0.609741676,,15.17
15.22487819,0.219421554,-0.214233562,-0.601501924,,15.23
15.28591698,0.222168138,-0.197754057,-0.606995092,,15.29
15.35186153,0.230407891,-0.214233562,-0.604248508,,15.36
15.41191058,0.219421554,-0.20599381,-0.599060516,,15.42
15.475044,0.233154475,-0.214233562,-0.620728013,,15.48
15.5360844,0.21667497,-0.203247225,-0.609741676,,15.54
15.59786566,0.224914722,-0.195007473,-0.599060516,,15.6
15.66282014,0.21667497,-0.20599381,-0.617981429,,15.67
15.72486055,0.224914722,-0.189819481,-0.604248508,,15.73
15.78698049,0.219421554,-0.20599381,-0.609741676,,15.79
15.84988717,0.214233562,-0.20599381,-0.606995092,,15.85
15.90998721,0.214233562,-0.214233562,-0.606995092,,15.91
15.97287432,0.227661307,-0.20599381,-0.606995092,,15.98
16.03494359,0.211486978,-0.197754057,-0.604248508,,16.04
16.09793879,0.21667497,-0.187072897,-0.61248826,,16.1
16.15985764,0.214233562,-0.208740394,-0.604248508,,16.16
16.22185058,0.211486978,-0.195007473,-0.609741676,,16.23
16.28500389,0.227661307,-0.195007473,-0.61248826,,16.29
16.34791409,0.211486978,-0.192260889,-0.609741676,,16.35
16.40986566,0.233154475,-0.192260889,-0.609741676,,16.41
16.47206257,0.211486978,-0.195007473,-0.599060516,,16.48
16.53499811,0.214233562,-0.195007473,-0.609741676,,16.54
16.59907735,0.20599381,-0.203247225,-0.617981429,,16.6
16.65888393,0.238342467,-0.195007473,-0.609741676,,16.66
16.7218958,0.21667497,-0.208740394,-0.596313932,,16.73
16.78488779,0.222168138,-0.211486978,-0.606995092,,16.79
16.8458929,0.224914722,-0.200500641,-0.606995092,,16.85
16.90895,0.21667497,-0.197754057,-0.606995092,,16.91
16.97087494,0.214233562,-0.20599381,-0.609741676,,16.98
17.03400901,0.233154475,-0.20599381,-0.599060516,,17.04
17.09590028,0.200500641,-0.211486978,-0.601501924,,17.1
17.15794036,0.235901059,-0.195007473,-0.604248508,,17.16
17.22335316,0.224914722,-0.214233562,-0.606995092,,17.23
17.2850103,0.224914722,-0.192260889,-0.61248826,,17.29
17.34690061,0.222168138,-0.203247225,-0.601501924,,17.35
17.40989163,0.20599381,-0.200500641,-0.61248826,,17.41
17.47125756,0.208740394,-0.192260889,-0.606995092,,17.48
17.533221,0.224914722,-0.203247225,-0.609741676,,17.54
17.596916,0.222168138,-0.20599381,-0.593567347,,17.6
17.65901093,0.214233562,-0.200500641,-0.604248508,,17.66
17.71996762,0.21667497,-0.203247225,-0.609741676,,17.72
17.78399714,0.222168138,-0.203247225,-0.601501924,,17.79
17.84593556,0.21667497,-0.208740394,-0.61248826,,17.85
17.90792753,0.203247225,-0.192260889,-0.599060516,,17.91
17.96898429,0.208740394,-0.192260889,-0.593567347,,17.97
18.03402472,0.214233562,-0.187072897,-0.609741676,,18.04
18.09492336,0.222168138,-0.200500641,-0.61248826,,18.1
18.15924249,0.21667497,-0.197754057,-0.606995092,,18.16
18.21903624,0.222168138,-0.197754057,-0.601501924,,18.22
18.28302728,0.214233562,-0.20599381,-0.623169421,,18.29
18.34566166,0.200500641,-0.20599381,-0.604248508,,18.35
18.40593233,0.208740394,-0.20599381,-0.601501924,,18.41
18.46904394,0.238342467,-0.203247225,-0.601501924,,18.47
18.53101251,0.214233562,-0.211486978,-0.604248508,,18.54
18.59298973,0.208740394,-0.187072897,-0.604248508,,18.6
18.656356,0.222168138,-0.200500641,-0.599060516,,18.66
18.71997917,0.214233562,-0.20599381,-0.599060516,,18.72
18.78099422,0.200500641,-0.211486978,-0.604248508,,18.79
18.84298748,0.214233562,-0.195007473,-0.601501924,,18.85
18.90503559,0.197754057,-0.195007473,-0.601501924,,18.91
18.97001605,0.222168138,-0.187072897,-0.599060516,,18.98
19.03008562,0.214233562,-0.214233562,-0.606995092,,19.04
19.09300769,0.214233562,-0.197754057,-0.61248826,,19.1
19.15511609,0.219421554,-0.203247225,-0.596313932,,19.16
19.21917672,0.214233562,-0.197754057,-0.599060516,,19.22
19.28034733,0.219421554,-0.20599381,-0.601501924,,19.29
19.34199934,0.214233562,-0.21667497,-0.609741676,,19.35
19.40506221,0.21667497,-0.214233562,-0.604248508,,19.41
19.46717189,0.233154475,-0.203247225,-0.606995092,,19.47
19.52897785,0.222168138,-0.214233562,-0.604248508,,19.53
19.59306638,0.230407891,-0.214233562,-0.604248508,,19.6
19.65598492,0.222168138,-0.203247225,-0.609741676,,19.66
19.71904907,0.219421554,-0.21667497,-0.606995092,,19.72
19.77996471,0.21667497,-0.211486978,-0.604248508,,19.78
19.84115873,0.211486978,-0.214233562,-0.61248826,,19.85
19.90398875,0.233154475,-0.21667497,-0.606995092,,19.91
19.96599035,0.227661307,-0.208740394,-0.604248508,,19.97
20.03000608,0.235901059,-0.197754057,-0.609741676,,20.04
20.09132326,0.224914722,-0.197754057,-0.596313932,,20.1
20.15515778,0.219421554,-0.200500641,-0.599060516,,20.16
20.21711256,0.222168138,-0.211486978,-0.606995092,,20.22
20.27803974,0.214233562,-0.20599381,-0.601501924,,20.28
20.34225431,0.222168138,-0.214233562,-0.606995092,,20.35
20.40512507,0.211486978,-0.20599381,-0.606995092,,20.41
20.46512921,0.224914722,-0.208740394,-0.601501924,,20.47
20.53003623,0.21667497,-0.214233562,-0.61248826,,20.54
20.59130786,0.224914722,-0.197754057,-0.604248508,,20.6
20.65515778,0.230407891,-0.222168138,-0.61248826,,20.66
20.71702339,0.219421554,-0.197754057,-0.604248508,,20.72
20.77702048,0.230407891,-0.208740394,-0.599060516,,20.78
20.84228029,0.21667497,-0.21667497,-0.599060516,,20.85
20.90304583,0.21667497,-0.214233562,-0.596313932,,20.91
20.96658882,0.214233562,-0.197754057,-0.615234844,,20.97
21.02704197,0.21667497,-0.211486978,-0.606995092,,21.03
21.09127579,0.208740394,-0.20599381,-0.620728013,,21.1
21.15308849,0.219421554,-0.211486978,-0.596313932,,21.16
21.21612762,0.227661307,-0.21667497,-0.593567347,,21.22
21.27706282,0.230407891,-0.203247225,-0.61248826,,21.28
21.3411382,0.224914722,-0.222168138,-0.604248508,,21.35
21.40122253,0.235901059,-0.211486978,-0.599060516,,21.41
21.46408975,0.227661307,-0.214233562,-0.601501924,,21.47
21.52603523,0.21667497,-0.20599381,-0.61248826,,21.53
21.58927385,0.235901059,-0.214233562,-0.61248826,,21.59
21.65214396,0.222168138,-0.195007473,-0.604248508,,21.66
21.71508303,0.233154475,-0.21667497,-0.601501924,,21.72
21.77610675,0.224914722,-0.21667497,-0.593567347,,21.78
21.83812695,0.224914722,-0.203247225,-0.606995092,,21.84
21.90112054,0.230407891,-0.21667497,-0.604248508,,21.91
21.96341175,0.222168138,-0.195007473,-0.599060516,,21.97
22.025134,0.21667497,-0.214233562,-0.61248826,,22.03
22.0883027,0.233154475,-0.21667497,-0.601501924,,22.09
22.1511199,0.219421554,-0.214233562,-0.604248508,,22.16
22.21275748,0.230407891,-0.208740394,-0.593567347,,22.22
22.27522861,0.211486978,-0.208740394,-0.615234844,,22.28
22.33711956,0.222168138,-0.203247225,-0.604248508,,22.34
22.4000798,0.227661307,-0.211486978,-0.606995092,,22.41
22.46238127,0.21667497,-0.197754057,-0.604248508,,22.47
22.52510257,0.219421554,-0.195007473,-0.604248508,,22.53
22.5871,0.21667497,-0.219421554,-0.609741676,,22.59
22.64911122,0.214233562,-0.208740394,-0.61248826,,22.65
22.71246017,0.211486978,-0.208740394,-0.61248826,,22.72
22.77611637,0.21667497,-0.20599381,-0.593567347,,22.78
22.83718467,0.238342467,-0.197754057,-0.601501924,,22.84
22.90011475,0.214233562,-0.208740394,-0.61248826,,22.91
22.96212052,0.222168138,-0.214233562,-0.61248826,,22.97
23.02422058,0.219421554,-0.211486978,-0.596313932,,23.03
23.08815902,0.230407891,-0.21667497,-0.599060516,,23.09
23.14933219,0.219421554,-0.21667497,-0.593567347,,23.15
23.21115034,0.222168138,-0.214233562,-0.61248826,,23.22
23.27512887,0.222168138,-0.211486978,-0.606995092,,23.28
23.33812053,0.224914722,-0.211486978,-0.609741676,,23.34
23.39915964,0.224914722,-0.20599381,-0.606995092,,23.4
23.46118273,0.224914722,-0.222168138,-0.601501924,,23.47
23.52317984,0.227661307,-0.219421554,-0.601501924,,23.53
23.58619043,0.214233562,-0.197754057,-0.599060516,,23.59
23.64925522,0.235901059,-0.200500641,-0.606995092,,23.65
23.71020453,0.219421554,-0.219421554,-0.606995092,,23.72
23.77231902,0.211486978,-0.20599381,-0.606995092,,23.78
23.83715324,0.214233562,-0.211486978,-0.604248508,,23.84
23.89719362,0.224914722,-0.219421554,-0.606995092,,23.9
23.96014616,0.224914722,-0.214233562,-0.596313932,,23.97
24.02219362,0.211486978,-0.211486978,-0.61248826,,24.03
24.08523981,0.224914722,-0.21667497,-0.606995092,,24.09
24.14722409,0.230407891,-0.20599381,-0.601501924,,24.15
24.20930362,0.230407891,-0.20599381,-0.609741676,,24.21
24.27321833,0.219421554,-0.189819481,-0.604248508,,24.28
24.3342847,0.235901059,-0.211486978,-0.606995092,,24.34
24.39688541,0.219421554,-0.203247225,-0.596313932,,24.4
24.46130332,0.219421554,-0.21667497,-0.596313932,,24.47
24.52218528,0.230407891,-0.20599381,-0.615234844,,24.53
24.58420324,0.227661307,-0.211486978,-0.590820763,,24.59
24.64621125,0.227661307,-0.208740394,-0.604248508,,24.65
24.70827026,0.219421554,-0.20599381,-0.590820763,,24.71
24.77337163,0.222168138,-0.197754057,-0.599060516,,24.78
24.83536746,0.227661307,-0.20599381,-0.606995092,,24.84
24.89709708,0.222168138,-0.21667497,-0.606995092,,24.9
24.95822343,0.219421554,-0.197754057,-0.593567347,,24.96
25.02026288,0.230407891,-0.214233562,-0.61248826,,25.03
25.08526002,0.219421554,-0.208740394,-0.601501924,,25.09
25.14626481,0.219421554,-0.208740394,-0.606995092,,25.15
25.20827186,0.230407891,-0.203247225,-0.599060516,,25.21
25.27222762,0.222168138,-0.203247225,-0.617981429,,25.28
25.33423146,0.233154475,-0.20599381,-0.61248826,,25.34
25.39653518,0.230407891,-0.195007473,-0.590820763,,25.4
25.45830265,0.219421554,-0.219421554,-0.604248508,,25.46
25.52024941,0.21667497,-0.21667497,-0.609741676,,25.53
25.58231355,0.233154475,-0.214233562,-0.609741676,,25.59
25.64539694,0.219421554,-0.20599381,-0.61248826,,25.65
25.70744664,0.21667497,-0.208740394,-0.61248826,,25.71
25.7693052,0.224914722,-0.224914722,-0.609741676,,25.77
25.83335429,0.227661307,-0.20599381,-0.609741676,,25.84
25.89432765,0.219421554,-0.20599381,-0.609741676,,25.9
25.95825037,0.233154475,-0.208740394,-0.617981429,,25.96
26.01929333,0.233154475,-0.20599381,-0.606995092,,26.02
26.08241553,0.224914722,-0.197754057,-0.61248826,,26.09
26.14327023,0.238342467,-0.20599381,-0.604248508,,26.15
26.20643316,0.222168138,-0.200500641,-0.601501924,,26.21
26.26925357,0.219421554,-0.211486978,-0.599060516,,26.27
26.33327475,0.224914722,-0.214233562,-0.606995092,,26.34
26.39329621,0.227661307,-0.214233562,-0.596313932,,26.4
26.45529492,0.233154475,-0.21667497,-0.590820763,,26.46
26.51828627,0.235901059,-0.211486978,-0.601501924,,26.52
26.58031096,0.219421554,-0.200500641,-0.606995092,,26.59
26.64346651,0.214233562,-0.211486978,-0.601501924,,26.65
26.70652168,0.21667497,-0.214233562,-0.604248508,,26.71
26.76764675,0.21667497,-0.21667497,-0.599060516,,26.77
26.83027151,0.211486978,-0.211486978,-0.596313932,,26.84
26.89344631,0.21667497,-0.211486978,-0.609741676,,26.9
26.95646107,0.235901059,-0.208740394,-0.596313932,,26.96
27.01842354,0.21667497,-0.211486978,-0.590820763,,27.02
27.07938985,0.235901059,-0.211486978,-0.601501924,,27.08
27.143344,0.208740394,-0.211486978,-0.61248826,,27.15
27.20453385,0.222168138,-0.214233562,-0.606995092,,27.21
27.26743347,0.219421554,-0.211486978,-0.617981429,,27.27
27.33031064,0.214233562,-0.227661307,-0.609741676,,27.34
27.3913613,0.235901059,-0.20599381,-0.604248508,,27.4
