Time (s),Processed X Mag,Processed Y Mag,Processed Z Mag,,
11.35058795,0.230407891,-0.17608656,-0.631409173,,11.36
11.41113411,0.243835635,-0.178833144,-0.64239551,,11.42
11.47500487,0.233154475,-0.170593392,-0.634155757,,11.48
11.53501287,0.233154475,-0.162658816,-0.620728013,,11.54
11.59929319,0.257568556,-0.181579728,-0.623169421,,11.6
11.66036919,0.235901059,-0.170593392,-0.628662589,,11.67
11.72302442,0.241089051,-0.173339976,-0.628662589,,11.73
11.78725343,0.235901059,-0.197754057,-0.625916005,,11.79
11.84835027,0.238342467,-0.173339976,-0.623169421,,11.85
11.9100459,0.243835635,-0.178833144,-0.625916005,,11.92
11.97207027,0.235901059,-0.17608656,-0.609741676,,11.98
12.03629415,0.243835635,-0.170593392,-0.617981429,,12.04
12.09929736,0.246582219,-0.17608656,-0.604248508,,12.1
12.1591543,0.235901059,-0.162658816,-0.620728013,,12.16
12.22411519,0.238342467,-0.178833144,-0.634155757,,12.23
12.28622712,0.227661307,-0.178833144,-0.636902341,,12.29
12.34609977,0.241089051,-0.173339976,-0.639648926,,12.35
12.40910394,0.241089051,-0.173339976,-0.631409173,,12.41
12.4710523,0.254821972,-0.170593392,-0.625916005,,12.48
12.53612385,0.235901059,-0.178833144,-0.623169421,,12.54
12.59924861,0.246582219,-0.170593392,-0.639648926,,12.6
12.65818828,0.241089051,-0.170593392,-0.620728013,,12.66
12.72319633,0.241089051,-0.170593392,-0.617981429,,12.73
12.78413698,0.233154475,-0.189819481,-0.628662589,,12.79
12.8462736,0.235901059,-0.173339976,-0.636902341,,12.85
12.91124284,0.243835635,-0.17608656,-0.628662589,,12.92
12.97012991,0.241089051,-0.178833144,-0.628662589,,12.98
13.03418861,0.224914722,-0.173339976,-0.623169421,,13.04
13.09740831,0.241089051,-0.178833144,-0.61248826,,13.1
13.1593448,0.241089051,-0.170593392,-0.625916005,,13.16
13.22017609,0.254821972,-0.162658816,-0.609741676,,13.23
13.28311355,0.235901059,-0.168151984,-0.623169421,,13.29
13.34536948,0.238342467,-0.170593392,-0.625916005,,13.35
13.40713375,0.246582219,-0.178833144,-0.639648926,,13.41
13.47009655,0.230407891,-0.173339976,-0.623169421,,13.48
13.53435058,0.243835635,-0.170593392,-0.628662589,,13.54
13.59416966,0.241089051,-0.168151984,-0.617981429,,13.6
13.65781721,0.249328804,-0.170593392,-0.625916005,,13.66
13.71939449,0.246582219,-0.187072897,-0.625916005,,13.72
13.78402633,0.238342467,-0.192260889,-0.609741676,,13.79
13.84464978,0.235901059,-0.178833144,-0.623169421,,13.85
13.9070927,0.241089051,-0.1654054,-0.634155757,,13.91
13.97187207,0.224914722,-0.17608656,-0.620728013,,13.98
14.033204,0.235901059,-0.181579728,-0.634155757,,14.04
14.0946918,0.241089051,-0.173339976,-0.634155757,,14.1
14.15618409,0.235901059,-0.168151984,-0.636902341,,14.16
14.21856029,0.235901059,-0.178833144,-0.61248826,,14.22
14.28353049,0.243835635,-0.17608656,-0.623169421,,14.29
14.34528161,0.230407891,-0.173339976,-0.625916005,,14.35
14.40725562,0.252075388,-0.17608656,-0.620728013,,14.41
14.4681626,0.222168138,-0.170593392,-0.636902341,,14.47
14.53248141,0.235901059,-0.17608656,-0.61248826,,14.54
14.59324855,0.230407891,-0.181579728,-0.617981429,,14.6
14.65515907,0.241089051,-0.178833144,-0.625916005,,14.66
14.71729056,0.235901059,-0.181579728,-0.623169421,,14.72
14.78318219,0.241089051,-0.189819481,-0.631409173,,14.79
14.84230371,0.249328804,-0.181579728,-0.620728013,,14.85
14.90669725,0.238342467,-0.181579728,-0.628662589,,14.91
14.96938166,0.241089051,-0.173339976,-0.623169421,,14.97
15.0303005,0.254821972,-0.170593392,-0.625916005,,15.04
15.09542657,0.238342467,-0.17608656,-0.625916005,,15.1
15.15471198,0.235901059,-0.187072897,-0.615234844,,15.16
15.2184814,0.235901059,-0.173339976,-0.615234844,,15.22
15.28040121,0.235901059,-0.178833144,-0.625916005,,15.29
15.34120074,0.227661307,-0.170593392,-0.61248826,,15.35
15.40430723,0.233154475,-0.162658816,-0.625916005,,15.41
15.46631364,0.268249716,-0.178833144,-0.628662589,,15.47
15.53002789,0.246582219,-0.178833144,-0.639648926,,15.54
15.59120844,0.246582219,-0.17608656,-0.623169421,,15.6
15.65328862,0.238342467,-0.168151984,-0.615234844,,15.66
15.71754745,0.238342467,-0.184326313,-0.620728013,,15.72
15.78039095,0.246582219,-0.170593392,-0.625916005,,15.79
15.84118759,0.230407891,-0.17608656,-0.628662589,,15.85
15.9032559,0.241089051,-0.1654054,-0.639648926,,15.91
15.96648843,0.235901059,-0.17608656,-0.61248826,,15.97
16.03033161,0.249328804,-0.173339976,-0.61248826,,16.04
16.09066289,0.235901059,-0.173339976,-0.625916005,,16.1
16.15444289,0.241089051,-0.170593392,-0.639648926,,16.16
16.21525943,0.238342467,-0.173339976,-0.606995092,,16.22
16.2776321,0.241089051,-0.181579728,-0.623169421,,16.28
16.34075815,0.243835635,-0.189819481,-0.64239551,,16.35
16.4022931,0.211486978,-0.184326313,-0.609741676,,16.41
16.46541081,0.241089051,-0.192260889,-0.631409173,,16.47
16.52743453,0.238342467,-0.184326313,-0.634155757,,16.53
16.58933029,0.246582219,-0.168151984,-0.623169421,,16.59
16.65237777,0.243835635,-0.178833144,-0.615234844,,16.66
16.71429951,0.252075388,-0.181579728,-0.639648926,,16.72
16.77740856,0.243835635,-0.173339976,-0.61248826,,16.78
16.84064686,0.235901059,-0.181579728,-0.631409173,,16.85
16.90133606,0.241089051,-0.168151984,-0.615234844,,16.91
16.96630305,0.233154475,-0.17608656,-0.617981429,,16.97
17.02739893,0.246582219,-0.178833144,-0.617981429,,17.03
17.08965294,0.238342467,-0.168151984,-0.617981429,,17.09
17.15150091,0.243835635,-0.17608656,-0.620728013,,17.16
17.21380559,0.249328804,-0.178833144,-0.644836918,,17.22
17.2763181,0.235901059,-0.17608656,-0.625916005,,17.28
17.33927224,0.241089051,-0.170593392,-0.628662589,,17.34
17.40229213,0.235901059,-0.184326313,-0.620728013,,17.41
17.46532004,0.241089051,-0.17608656,-0.620728013,,17.47
17.52649193,0.243835635,-0.1654054,-0.61248826,,17.53
17.59076296,0.235901059,-0.173339976,-0.631409173,,17.6
17.65043131,0.246582219,-0.168151984,-0.623169421,,17.66
17.71468213,0.241089051,-0.173339976,-0.623169421,,17.72
17.77746404,0.235901059,-0.181579728,-0.631409173,,17.78
17.83729018,0.243835635,-0.173339976,-0.628662589,,17.84
17.902321,0.252075388,-0.170593392,-0.631409173,,17.91
17.96242392,0.246582219,-0.173339976,-0.620728013,,17.97
18.02666159,0.241089051,-0.173339976,-0.628662589,,18.03
18.08928347,0.235901059,-0.173339976,-0.625916005,,18.09
18.14946722,0.241089051,-0.17608656,-0.623169421,,18.15
18.21383157,0.246582219,-0.17608656,-0.628662589,,18.22
18.27433797,0.233154475,-0.187072897,-0.644836918,,18.28
18.33651596,0.252075388,-0.170593392,-0.623169421,,18.34
18.40146435,0.238342467,-0.178833144,-0.623169421,,18.41
18.46339122,0.235901059,-0.168151984,-0.625916005,,18.47
18.52541752,0.235901059,-0.1654054,-0.620728013,,18.53
18.58644829,0.238342467,-0.17608656,-0.625916005,,18.59
18.64978185,0.246582219,-0.173339976,-0.639648926,,18.65
18.71135753,0.241089051,-0.184326313,-0.620728013,,18.72
18.77429884,0.238342467,-0.170593392,-0.61248826,,18.78
18.83651147,0.235901059,-0.184326313,-0.634155757,,18.84
18.89958139,0.238342467,-0.178833144,-0.631409173,,18.9
18.96138896,0.235901059,-0.178833144,-0.609741676,,18.97
19.02433893,0.233154475,-0.178833144,-0.636902341,,19.03
19.08563013,0.249328804,-0.178833144,-0.623169421,,19.09
19.149549,0.241089051,-0.170593392,-0.628662589,,19.15
19.21038606,0.230407891,-0.184326313,-0.628662589,,19.22
19.27450635,0.243835635,-0.181579728,-0.61248826,,19.28
19.33644508,0.235901059,-0.178833144,-0.609741676,,19.34
19.39957658,0.243835635,-0.173339976,-0.623169421,,19.4
19.46046688,0.238342467,-0.173339976,-0.623169421,,19.47
19.52434919,0.227661307,-0.168151984,-0.623169421,,19.53
19.58550601,0.233154475,-0.17608656,-0.620728013,,19.59
19.64851371,0.241089051,-0.170593392,-0.634155757,,19.65
19.70940433,0.235901059,-0.178833144,-0.631409173,,19.71
19.77274302,0.241089051,-0.184326313,-0.634155757,,19.78
19.8344255,0.243835635,-0.168151984,-0.620728013,,19.84
19.89661664,0.233154475,-0.168151984,-0.625916005,,19.9
19.96147683,0.233154475,-0.168151984,-0.623169421,,19.97
20.02155699,0.243835635,-0.178833144,-0.625916005,,20.03
20.08645182,0.233154475,-0.178833144,-0.617981429,,20.09
20.14638669,0.238342467,-0.170593392,-0.636902341,,20.15
20.20950985,0.241089051,-0.173339976,-0.628662589,,20.21
20.27142132,0.238342467,-0.173339976,-0.625916005,,20.28
20.33350471,0.238342467,-0.170593392,-0.628662589,,20.34
20.39840627,0.235901059,-0.184326313,-0.620728013,,20.4
20.4604316,0.238342467,-0.187072897,-0.61248826,,20.47
20.52043446,0.238342467,-0.168151984,-0.623169421,,20.53
20.58541204,0.230407891,-0.184326313,-0.625916005,,20.59
20.64640978,0.243835635,-0.178833144,-0.623169421,,20.65
20.70842485,0.241089051,-0.170593392,-0.625916005,,20.71
20.77038475,0.230407891,-0.157165647,-0.625916005,,20.78
20.83381388,0.235901059,-0.178833144,-0.61248826,,20.84
20.89565801,0.230407891,-0.170593392,-0.61248826,,20.9
20.95857655,0.238342467,-0.173339976,-0.625916005,,20.96
21.02040945,0.235901059,-0.184326313,-0.623169421,,21.03
21.08252779,0.238342467,-0.168151984,-0.625916005,,21.09
21.14565287,0.243835635,-0.170593392,-0.615234844,,21.15
21.20744248,0.238342467,-0.17608656,-0.623169421,,21.21
21.27097007,0.238342467,-0.189819481,-0.628662589,,21.28
21.33266698,0.233154475,-0.173339976,-0.623169421,,21.34
21.39564389,0.246582219,-0.173339976,-0.623169421,,21.4
21.45743317,0.238342467,-0.170593392,-0.628662589,,21.46
