Time (s),Processed X Mag,Processed Y Mag,Processed Z Mag,,Time(s)
9.790392653,0.195007473,-0.21667497,-0.606995092,,9.8
9.851252803,0.21667497,-0.219421554,-0.606995092,,9.86
9.913403216,0.227661307,-0.214233562,-0.601501924,,9.92
9.977601759,0.219421554,-0.219421554,-0.596313932,,9.98
10.03842086,0.224914722,-0.211486978,-0.606995092,,10.04
10.10050648,0.219421554,-0.219421554,-0.601501924,,10.11
10.16345838,0.21667497,-0.211486978,-0.609741676,,10.17
10.2255748,0.21667497,-0.222168138,-0.588074179,,10.23
10.29068355,0.235901059,-0.222168138,-0.593567347,,10.3
10.35104113,0.211486978,-0.214233562,-0.61248826,,10.36
10.41223579,0.219421554,-0.219421554,-0.606995092,,10.42
10.47523195,0.21667497,-0.211486978,-0.615234844,,10.48
10.53746446,0.214233562,-0.219421554,-0.601501924,,10.54
10.60187019,0.219421554,-0.214233562,-0.606995092,,10.61
10.66224605,0.214233562,-0.20599381,-0.609741676,,10.67
10.72435413,0.214233562,-0.21667497,-0.609741676,,10.73
10.78740321,0.21667497,-0.214233562,-0.588074179,,10.79
10.85141701,0.211486978,-0.214233562,-0.609741676,,10.86
10.91210461,0.219421554,-0.211486978,-0.61248826,,10.92
10.97521912,0.224914722,-0.219421554,-0.617981429,,10.98
11.03733169,0.224914722,-0.208740394,-0.601501924,,11.04
11.10021751,0.230407891,-0.203247225,-0.609741676,,11.11
11.1617624,0.222168138,-0.211486978,-0.606995092,,11.17
11.2232579,0.235901059,-0.20599381,-0.604248508,,11.23
11.28742181,0.208740394,-0.211486978,-0.599060516,,11.29
11.34965721,0.214233562,-0.214233562,-0.596313932,,11.35
11.41200647,0.227661307,-0.211486978,-0.601501924,,11.42
11.47442982,0.214233562,-0.211486978,-0.601501924,,11.48
11.53546059,0.214233562,-0.222168138,-0.604248508,,11.54
11.59965882,0.197754057,-0.211486978,-0.604248508,,11.6
11.66222521,0.21667497,-0.224914722,-0.606995092,,11.67
11.72425182,0.224914722,-0.224914722,-0.604248508,,11.73
11.78727267,0.224914722,-0.203247225,-0.609741676,,11.79
11.84724923,0.211486978,-0.219421554,-0.601501924,,11.85
11.91158793,0.219421554,-0.20599381,-0.604248508,,11.92
11.97437947,0.208740394,-0.233154475,-0.604248508,,11.98
12.03547471,0.224914722,-0.222168138,-0.588074179,,12.04
12.09824764,0.219421554,-0.224914722,-0.604248508,,12.1
12.15924795,0.224914722,-0.211486978,-0.606995092,,12.16
12.22436087,0.235901059,-0.20599381,-0.609741676,,12.23
12.28453563,0.233154475,-0.208740394,-0.606995092,,12.29
12.34754718,0.222168138,-0.20599381,-0.601501924,,12.35
12.40931754,0.227661307,-0.219421554,-0.606995092,,12.41
12.4715337,0.233154475,-0.219421554,-0.61248826,,12.48
12.53441087,0.214233562,-0.211486978,-0.615234844,,12.54
12.59831114,0.222168138,-0.219421554,-0.601501924,,12.6
12.65928483,0.211486978,-0.21667497,-0.604248508,,12.66
12.72138008,0.222168138,-0.214233562,-0.601501924,,12.73
13.12933423,0.227661307,-0.211486978,-0.601501924,,13.13
13.15826333,0.21667497,-0.219421554,-0.599060516,,13.16
13.22032555,0.230407891,-0.21667497,-0.604248508,,13.23
13.28334383,0.214233562,-0.222168138,-0.599060516,,13.29
13.61584243,0.20599381,-0.21667497,-0.599060516,,13.62
13.65838328,0.219421554,-0.211486978,-0.609741676,,13.66
13.72076205,0.208740394,-0.222168138,-0.599060516,,13.73
13.78229603,0.214233562,-0.211486978,-0.61248826,,13.79
13.84429859,0.21667497,-0.200500641,-0.604248508,,13.85
13.90775531,0.211486978,-0.21667497,-0.601501924,,13.91
13.9694519,0.230407891,-0.222168138,-0.601501924,,13.97
14.0314737,0.230407891,-0.208740394,-0.601501924,,14.04
14.09431367,0.197754057,-0.222168138,-0.617981429,,14.1
14.15632938,0.208740394,-0.208740394,-0.601501924,,14.16
14.2194349,0.214233562,-0.214233562,-0.599060516,,14.22
14.28158852,0.230407891,-0.21667497,-0.61248826,,14.29
14.34339191,0.200500641,-0.211486978,-0.623169421,,14.35
14.40661001,0.21667497,-0.208740394,-0.593567347,,14.41
